timestamp, cpu_power_uW, io_power_uW
1503442564.120536704, 0, 4984000
1503442564.412306596, 0, 4984000
1503442564.702297664, 0, 4984000
1503442564.991961708, 0, 4984000
1503442565.282693966, 0, 4984000
1503442565.571919803, 0, 4984000
1503442565.861948852, 0, 4984000
1503442566.153009574, 0, 4984000
1503442566.442971522, 0, 4984000
1503442566.732971390, 0, 4984000
1503442567.022900437, 0, 4984000
1503442567.313267470, 0, 4984000
1503442567.602900494, 0, 4984000
1503442567.893272087, 0, 4984000
1503442568.183565699, 0, 4984000
1503442568.473724749, 0, 4984000
1503442568.764164183, 0, 4984000
1503442569.054343034, 0, 4984000
1503442569.344180580, 0, 4984000
1503442569.634585534, 0, 4984000
1503442569.923696609, 0, 4984000
1503442570.213560316, 0, 4984000
1503442570.502715752, 0, 4984000
1503442570.792893683, 0, 4984000
1503442571.081743455, 0, 4984000
1503442571.371580441, 0, 4984000
1503442571.662026635, 0, 4984000
1503442571.951779900, 0, 4984000
1503442572.241061178, 0, 4984000
1503442572.531463712, 0, 4984000
1503442572.819800457, 0, 4984000
1503442573.103429998, 0, 4984000
1503442573.386704854, 0, 4984000
1503442573.675628127, 0, 5218000
1503442573.960250401, 0, 5218000
1503442574.247436751, 0, 5218000
1503442574.538121348, 0, 5218000
1503442574.824308564, 0, 5218000
1503442575.108741016, 468000, 5218000
1503442575.392286775, 468000, 5218000
1503442575.675801834, 468000, 5218000
1503442575.960324467, 468000, 4984000
1503442576.241769417, 0, 4984000
1503442576.524865291, 468000, 4984000
1503442576.810702462, 468000, 4984000
1503442577.099980340, 0, 4984000
1503442577.386499680, 0, 4984000
1503442577.673084461, 468000, 5218000
1503442577.960190590, 468000, 5218000
1503442578.246722830, 468000, 4984000
1503442578.531720870, 468000, 4984000
1503442578.820107916, 468000, 4984000
1503442579.107282385, 468000, 4984000
1503442579.396814727, 468000, 4984000
1503442579.686632053, 468000, 4984000
1503442579.974022805, 468000, 4984000
1503442580.281117048, 468000, 4984000
1503442580.569171690, 468000, 4984000
1503442580.853289297, 468000, 4984000
1503442581.139943999, 468000, 4984000
1503442581.424593594, 468000, 4984000
1503442581.706556011, 468000, 4984000
1503442581.989005916, 468000, 4984000
1503442582.274781626, 468000, 4984000
1503442582.556853225, 468000, 4984000
1503442582.841588341, 468000, 4984000
1503442583.120674879, 468000, 4984000
1503442583.408715180, 468000, 4984000
1503442583.693796901, 1937000, 4984000
1503442583.975743278, 1937000, 4984000
1503442584.249597265, 1937000, 5218000
1503442584.522891543, 1937000, 5218000
1503442584.800174277, 1937000, 5218000
1503442585.073295953, 1937000, 4984000
1503442585.346038464, 1937000, 4984000
1503442585.626222177, 1937000, 4984000
1503442585.902803581, 1937000, 4984000
1503442586.177246995, 1468000, 4984000
1503442586.451593308, 1468000, 4984000
1503442586.727186938, 1468000, 4984000
1503442587.004798616, 1937000, 4984000
1503442587.280361246, 1937000, 4984000
1503442587.555261426, 1468000, 4984000
1503442587.828549325, 1468000, 4984000
1503442588.103270483, 1468000, 4984000
1503442588.378283245, 1468000, 4984000
1503442588.655113912, 1937000, 4984000
1503442588.929584247, 1937000, 4984000
1503442589.206806179, 1468000, 4984000
1503442589.482235727, 1468000, 4984000
1503442589.755961952, 1468000, 4984000
1503442590.034013316, 1937000, 4984000
1503442590.307282194, 1937000, 4984000
1503442590.582357897, 1468000, 4984000
1503442590.858991721, 1468000, 4984000
1503442591.145479861, 1468000, 4984000
1503442591.431832319, 1468000, 4984000
1503442591.717802332, 1937000, 4984000
1503442592.000652702, 1937000, 4984000
1503442592.275136877, 1937000, 4984000
1503442592.551159313, 1468000, 4984000
1503442592.827808118, 1468000, 4984000
1503442593.100413847, 2437000, 4984000
1503442593.374020430, 2437000, 4984000
1503442593.647821655, 2437000, 4984000
1503442593.921101794, 2437000, 4984000
1503442594.192874171, 2437000, 4984000
1503442594.466119289, 2437000, 5218000
1503442594.738048429, 2437000, 5218000
